,question,ans,blanks,a),b),c),d),e)
78270, _____ she Emma's friend? ,a,1,Is she Emma's friend?,Does she Emma's friend?,What she Emma's friend?,,
78271,Some keys _____ in the classroom. ,c,1,Some keys am in the classroom.,Some keys is in the classroom.,Some keys are in the classroom.,Some keys be in the classroom.,
78272,London is in _____ . ,c,1,London is in America .,London is in China .,London is in England .,,
78273,It's six o'clock. It's time _____ go home.,b,1,It's six o'clock. It's time for go home.,It's six o'clock. It's time to go home.,It's six o'clock. It's time with go home.,,
78274,What _____ /saɪz/ do you wear? These sweaters are on sale. ,d,1,What same /saɪz/ do you wear? These sweaters are on sale.,What side /saɪz/ do you wear? These sweaters are on sale.,What rise /saɪz/ do you wear? These sweaters are on sale.,What size /saɪz/ do you wear? These sweaters are on sale.,
78275,It's time _____ dinner. ,a,1,It's time for dinner.,It's time to dinner.,It's time of dinner.,,
78276,There _____ many books on the desk. ,d,1,There have many books on the desk.,There has many books on the desk.,There is many books on the desk.,There are many books on the desk.,
78277,We _____ keep our classroom clean. ,c,1,We mustn't keep our classroom clean.,We can't keep our classroom clean.,We should keep our classroom clean.,We may keep our classroom clean.,
78278,It was three months later _____ he completed the job with difficulty. ,d,1,It was three months later since he completed the job with difficulty.,It was three months later before he completed the job with difficulty.,It was three months later while he completed the job with difficulty.,It was three months later that he completed the job with difficulty.,
78279,"People in the UK say ""lorry"" while people in the USA say "" _____ "" . ",c,1,"People in the UK say ""lorry"" while people in the USA say "" yard "" .","People in the UK say ""lorry"" while people in the USA say "" vacation "" .","People in the UK say ""lorry"" while people in the USA say "" truck "" .","People in the UK say ""lorry"" while people in the USA say "" soccer "" .",
78280,Shanghai will host the World Expo _____ May. ,a,1,Shanghai will host the World Expo in May.,Shanghai will host the World Expo on May.,Shanghai will host the World Expo to May.,Shanghai will host the World Expo at May.,
78281,Maybe you should buy some flowers _____ her. ,c,1,Maybe you should buy some flowers with her.,Maybe you should buy some flowers from her.,Maybe you should buy some flowers for her.,Maybe you should buy some flowers to her.,
78282,I don't like _____ . It's snowy and cold. ,c,1,I don't like spring . It's snowy and cold.,I don't like summer . It's snowy and cold.,I don't like winter . It's snowy and cold.,,
78283,Thank you _____ your dictionary. ,b,1,Thank you to your dictionary.,Thank you for your dictionary.,Thank you at your dictionary.,Thank you in your dictionary.,
78284,You will miss the bus _____ you hurry up. ,b,1,You will miss the bus if you hurry up.,You will miss the bus unless you hurry up.,You will miss the bus while you hurry up.,You will miss the bus when you hurry up.,
78285,GMT stands _____ Greenwich Mean Time. ,b,1,GMT stands on Greenwich Mean Time.,GMT stands for Greenwich Mean Time.,GMT stands in Greenwich Mean Time.,GMT stands out Greenwich Mean Time.,
78286,"It is definite that new digital mobile phones have less radiation, but that does not _____ mean that they should be used without caution. ",b,1,"It is definite that new digital mobile phones have less radiation, but that does not obviously mean that they should be used without caution.","It is definite that new digital mobile phones have less radiation, but that does not necessarily mean that they should be used without caution.","It is definite that new digital mobile phones have less radiation, but that does not generally mean that they should be used without caution.","It is definite that new digital mobile phones have less radiation, but that does not eventually mean that they should be used without caution.",
78287,"Life is tough in the city. In order to lose their _____ , some people drink alcohol.",d,1,"Life is tough in the city. In order to lose their temper , some people drink alcohol.","Life is tough in the city. In order to lose their mood , some people drink alcohol.","Life is tough in the city. In order to lose their consciousness , some people drink alcohol.","Life is tough in the city. In order to lose their pressures , some people drink alcohol.",
78288,The man beat the boy _____ the arm. ,a,1,The man beat the boy on the arm.,The man beat the boy in the arm.,The man beat the boy at the arm.,The man beat the boy to the arm.,
78289,We guarantee that all your personal information will be treated _____ and there should be no fear at all of identity theft. ,d,1,We guarantee that all your personal information will be treated initially and there should be no fear at all of identity theft.,We guarantee that all your personal information will be treated independently and there should be no fear at all of identity theft.,We guarantee that all your personal information will be treated confidently and there should be no fear at all of identity theft.,We guarantee that all your personal information will be treated confidentially and there should be no fear at all of identity theft.,
78290,"Green tea, _____ many experts suggest, should be drunk regularly to improve health. ",d,1,"Green tea, which many experts suggest, should be drunk regularly to improve health.","Green tea, where many experts suggest, should be drunk regularly to improve health.","Green tea, when many experts suggest, should be drunk regularly to improve health.","Green tea, as many experts suggest, should be drunk regularly to improve health.",
78291,You _____ write the poem down. Our teacher will give us a copy.,c,1,You can't write the poem down. Our teacher will give us a copy.,You shouldn't write the poem down. Our teacher will give us a copy.,You needn't write the poem down. Our teacher will give us a copy.,You couldn't write the poem down. Our teacher will give us a copy.,
78292,"He is a good man, you can rely _____ him. ",b,1,"He is a good man, you can rely about him.","He is a good man, you can rely on him.","He is a good man, you can rely of him.","He is a good man, you can rely with him.",
78293,There _____ a lot of people waiting for the bus. ,a,1,There are a lot of people waiting for the bus.,There is a lot of people waiting for the bus.,There were a lot of people waiting for the bus.,There was a lot of people waiting for the bus.,
